,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad
345,090816CP,2009,F1H,BR,590,0,1,1,6.25
346,090825HO,2009,EC,H590,463,1,1,1,15.38461538
348,090884HO,2009,F1H,H489,575,1,1,1,15.0
349,090895HO,2009,F1H,H489,498,1,1,1,11.11111111
350,09092CA,2009,F1H,BR,348,0,0,0,100.0
351,09096CA,2009,F1H,BR,353,0,0,0,50.0
352,09097CA,2009,F1H,BR,320,0,0,0,20.0
353,099008CP,2009,F1H,BR,353,0,0,0,25.0
354,099057CP,2009,F1H,BR,310,1,1,1,21.875
355,099235CP,2009,F1H,BR,324,0,0,1,23.33333333
356,099687CP,2009,F1H,BR,401,1,0,1,14.28571429
357,100000HO,2010,F1H,BR,0,0,0,0,0.0
358,100001CP,2010,F1H,BR,0,0,0,1,28.57142857
359,100001HO,2010,F1H,H0585,339,1,1,1,22.22222222
360,100002HO,2010,EC,H0585,509,0,0,0,40.0
361,100003HO,2010,F1H,H0584,615,1,1,1,25.64102564
362,100004HO,2010,F1H,H0584,0,0,0,0,100.0
363,100005HO,2010,F1H,H0584,0,0,1,0,60.0
364,100006HO,2010,F1H,HOL,357,0,1,0,44.44444444
365,100007HO,2010,F1H,H0584,0,0,0,0,100.0
366,100008HO,2010,F1H,H0584,407,0,0,1,33.33333333
367,100009HO,2010,F1H,H0585,417,1,1,1,16.21621622
368,100010HO,2010,F1H,H0584,388,0,0,0,33.33333333
369,100011HO,2010,F1H,H0584,665,0,1,1,15.0
370,100012HO,2010,F1H,H0585,0,0,0,0,14.28571429
371,100013CP,2010,F1H,BR,540,0,0,1,16.66666667
372,100013HO,2010,F1H,H0585,380,0,0,0,75.0
373,100014HO,2010,F1H,H0584,448,1,1,1,22.58064516
374,100015HO,2010,F1H,H0585,445,1,1,1,13.04347826
375,100016HO,2010,F1H,H0584,317,0,0,0,37.5
376,100017HO,2010,F1H,H0584,367,0,1,0,21.42857143
377,100018HO,2010,F1H,H0585,439,1,1,1,21.62162162
378,100019HO,2010,F1H,H0585,728,1,1,0,11.76470588
379,100021HO,2010,F1H,H0585,461,1,1,1,30.0
380,100022HO,2010,F1H,H0585,365,0,0,0,50.0
381,100023HO,2010,F1H,H0584,0,0,0,0,100.0
382,100024HO,2010,F1H,H0585,317,1,0,1,27.02702703
383,100025HO,2010,F1H,H0585,389,1,0,0,66.66666667
384,100026HO,2010,F1H,H0585,374,0,0,0,75.0
385,100027HO,2010,F1H,H0584,356,0,1,0,22.22222222
386,100028HO,2010,F1H,H0584,592,1,1,0,20.0
387,100029HO,2010,F1H,H0585,339,1,1,1,22.58064516
388,100030HO,2010,F1H,H0584,511,1,1,1,21.05263158
389,100031HO,2010,F1H,H0585,321,1,1,1,29.41176471
390,100032HO,2010,F1H,H0585,333,1,0,1,28.57142857
391,100033HO,2010,F1H,H0585,367,0,0,1,42.85714286
392,100034HO,2010,F1H,H0584,558,1,1,1,25.71428571
393,100035HO,2010,F1H,H0585,357,1,0,0,37.5
394,100036HO,2010,F1H,H0585,480,1,1,1,20.83333333
395,100037HO,2010,F1H,H0585,535,1,0,1,12.19512195
396,100038HO,2010,F1H,H0585,448,1,1,1,25.92592593
398,100040HO,2010,F1H,H0584,337,0,1,1,36.0
399,100042HO,2010,EC,H0585,416,1,1,0,28.57142857
400,100043HO,2010,F1H,H0585,760,0,1,1,58.82352941
401,100044HO,2010,F1H,H0584,339,1,0,0,27.27272727
402,100046JE,2010,F1J,JE0778,0,0,0,0,14.28571429
403,100047HO,2010,F1H,H0584,331,1,0,1,26.66666667
404,100048CP,2010,F1H,BR,0,1,0,0,0.0
405,100048HO,2010,F1H,H0585,764,1,1,1,10.52631579
406,100049HO,2010,F1H,H0584,0,0,0,0,0.0
408,100051CP,2010,F1H,BR,481,0,0,1,15.78947368
409,100051HO,2010,F1H,H0585,381,0,0,0,50.0
410,100052HO,2010,F1H,H0584,328,0,0,0,50.0
411,100053JE,2010,F1J,JE0778,336,0,0,1,50.0
412,100054HO,2010,F1H,H0585,472,1,1,1,30.76923077
413,100055CP,2010,F1H,BR,397,0,0,1,50.0
414,100055HO,2010,F1H,H0584,500,0,1,1,20.0
415,100056HO,2010,F1H,H0584,381,0,0,0,60.0
416,100060HO,2010,F1H,H0585,364,1,1,1,21.62162162
417,100062HO,2010,F1H,H0584,0,0,0,0,33.33333333
418,100063HO,2010,F1H,H0584,432,1,0,1,20.58823529
419,100064HO,2010,F1H,H0585,0,0,0,0,100.0
420,100065HO,2010,F1H,H0584,0,0,0,0,25.0
421,100066HO,2010,F1H,H0585,496,1,1,1,24.13793103
422,100067HO,2010,F1H,H0584,522,1,1,1,11.42857143
423,100068HO,2010,F1H,H0585,369,0,0,0,50.0
424,100069HO,2010,F1H,H0584,318,0,0,0,66.66666667
425,100070HO,2010,F1H,H0584,0,0,0,0,100.0
426,100071HO,2010,F1H,H0585,651,1,1,1,14.28571429
427,100072HO,2010,F1H,H0585,381,0,0,1,37.5
428,100073HO,2010,F1H,H0585,369,1,0,0,30.0
429,100074HO,2010,F1H,H0585,328,0,0,1,21.05263158
430,100075HO,2010,F1H,H0584,578,1,0,1,13.88888889
431,100076HO,2010,F1H,H0585,376,1,1,1,25.0
432,100077HO,2010,F1H,H0584,388,1,0,0,25.0
433,100078HO,2010,F1H,H0585,690,1,1,1,11.53846154
434,100079HO,2010,F1H,H0585,0,0,0,0,50.0
435,100080HO,2010,F1H,H0585,506,1,1,1,20.0
436,100081HO,2010,F1H,H0584,0,0,0,0,20.0
437,100082HO,2010,F1H,H0585,413,1,0,1,22.85714286
438,100083HO,2010,F1H,H0585,536,1,1,1,29.41176471
439,100085HO,2010,F1H,H0584,324,1,0,1,30.55555556
