ID,Efectividad
110342HO,25.80645161
110343HO,14.70588235
110355HO,16.66666667
110358HO,16.66666667
110359HO,25
110360HO,25
110367HO,21.42857143
110370HO,20.68965517
110376HO,26.31578947
110382HO,16.12903226
110406HO,25
110410HO,15.38461538
110412JE,20
110413HO,25
110417HO,22.22222222
110424HO,21.875
110426HO,14.70588235
110438HO,14.28571429
110439AG,33.33333333
110439HO,20
110442HO,25
110443HO,35.71428571
110450HO,19.23076923
110454HO,20.68965517
110462HO,14.28571429
110474,0
110474HO,14.70588235
110484HO,25
110485HO,20
110487HO,20.68965517
110491HO,20
110513HO,20
110515HO,12.5
110519HO,27.27272727
110520HO,26.66666667
110522HO,18.75
110531HO,5.882352941
110532HO,16.66666667
110533HO,26.92307692
110534HO,28.57142857
110539HO,25
110543HO,14.28571429
110547JE,20.83333333
110554HO,20
110555HO,22.22222222
110562HO,19.04761905
110563HO,25
110579HO,33.33333333
110580HO,26.66666667
110587HO,19.44444444
110589HO,20.83333333
110591HO,12.5
110609HO,20
110613HO,23.07692308
110614HO,40
110615HO,14.28571429
110617HO,18.75
110636HO,12
110639HO,13.63636364
110640HO,50
110644HO,20
110654HO,17.14285714
110657HO,16.66666667
110658HO,12
110659HO,17.64705882
110660HO,30
110662HO,16.12903226
110664HO,23.52941176
110668HO,39.13043478
110669HO,20
110670HO,18.18181818
110671HO,14.28571429
110674HO,20.83333333
110687HO,20
110688HO,10
110691HO,28.125
110693HO,27.27272727
110697HO,12.5
110698HO,21.875
110705HO,20
110707AG,100
110707HO,20.83333333
110708HO,28
110712HO,16.66666667
110728HO,29.41176471
110735HO,20
110737HO,27.27272727
110742HO,25
110745HO,18.51851852
110747HO,20
110754HO,13.04347826
110769HO,11.11111111
110770HO,12.5
110775HO,33.33333333
110783HO,20
110786HO,19.35483871
110794HO,15.15151515
110797HO,21.875
110802HO,21.05263158
110807HO,25
110810HO,18.75
110811HO,16.66666667
110813HO,16.66666667
110814HO,27.27272727
110819HO,24.13793103
110820HO,17.85714286
110829HO,26.66666667
110832HO,25
110835HO,33.33333333
110837HO,20
110838HO,25.80645161
110840HO,25
110841HO,25
110842HO,21.21212121
110848HO,38.46153846
110853HO,24.13793103
110854HO,26.92307692
110855HO,50
110856HO,30
110859HO,18.51851852
110860HO,20.68965517
110866HO,21.42857143
110867HO,24.13793103
110870HO,50
110873HO,17.64705882
110874HO,21.73913043
110877HO,16.12903226
110879HO,22.22222222
110883HO,16.66666667
110887HO,20.68965517
110894HO,13.33333333
110895HO,14.28571429
110896HO,20
110897HO,50
110901HO,22.85714286
110903HO,21.42857143
110904HO,18.75
110915HO,22.22222222
110919HO,50
110923HO,7.142857143
110924HO,25
110926HO,27.27272727
110930HO,24.13793103
110931HO,14.70588235
110936HO,12.5
110939HO,50
110940HO,33.33333333
110945HO,18.51851852
110946HO,14.28571429
110949HO,27.27272727
110957HO,21.42857143
110961HO,10.52631579
110967HO,16.66666667
110968HO,30.76923077
110969HO,21.875
110970HO,19.04761905
110971HO,12.12121212
110972HO,22.58064516
110975HO,25
110979HO,12.5
110982HO,13.33333333
110986HO,15.625
110990HO,21.05263158
111003HO,22.72727273
111005HO,18.42105263
111016HO,21.875
111019HO,23.07692308
111024HO,24.13793103
111029HO,27.27272727
111031HO,22.58064516
111049HO,23.80952381
111050HO,28.57142857
111053HO,31.25
111054HO,23.33333333
111058HO,0
111068HO,14.28571429
111070HO,24
111073HO,26.66666667
111084HO,22.58064516
111097HO,21.21212121
111106HO,25
111109HO,22.22222222
111120HO,33.33333333
111124HO,28.57142857
111126HO,22.22222222
111131HO,20.68965517
111142HO,20.58823529
113389SD,14.28571429
113406SD,22.22222222
113422SD,19.23076923
113481SD,0
113489SD,11.11111111
113603SD,19.23076923
113639SD,9.090909091
113718SD,15.38461538
113743SD,6.666666667
113762SD,20
113771SD,25
113796SD,20
113800SD,16.66666667
113823SD,15.625
113832SD,7.692307692
113838SD,16.66666667
113841SD,17.24137931
113884SD,21.42857143
113886SD,16.12903226
113932SD,16.66666667
113938SD,20
113942SD,18.18181818
113953SD,8.333333333
113967SD,17.24137931
113969SD,10
113974SD,16.66666667
113980SD,17.24137931
113986SD,19.23076923
113996SD,9.090909091
114001SD,26.08695652
114004SD,10
114005SD,8.333333333
114010SD,20.83333333
114017SD,0
114021SD,25.92592593
114025SD,30
114029SD,20.83333333
114031SD,11.42857143
114034SD,15.38461538
114036SD,16
114040SD,16.66666667
114044SD,26.08695652
114046SD,22.22222222
114052SD,8.695652174
114054SD,27.27272727
114060SD,19.04761905
114061SD,19.23076923
114071SD,16.66666667
114082SD,11.53846154
114085SD,20
114088SD,19.04761905
114089SD,22.72727273
114090SD,11.11111111
114092SD,7.142857143
114093SD,17.39130435
114109SD,12.90322581
114113SD,10.71428571
114115SD,9.523809524
114121SD,11.53846154
114127SD,18.51851852
114133SD,7.692307692
114138SD,13.33333333
114139SD,25
114141SD,12.90322581
114153SD,16
114155SD,17.24137931
114161SD,27.77777778
114171SD,15.38461538
114172SD,15.625
114173SD,15.38461538
114181SD,19.35483871
114183SD,8.695652174
114187SD,14.28571429
114192SD,22.72727273
114194SD,19.35483871
114195SD,16
114200SD,23.80952381
114220SD,24
114232SD,17.24137931
114237SD,19.04761905
114269SD,6.666666667
114273SD,21.73913043
114284SD,27.27272727
114290SD,9.677419355
114294SD,18.51851852
114297SD,21.42857143
114317SD,14.28571429
114336SD,33.33333333
120001CA,25
120001HO,100
120001SD,7.692307692
120002SD,7.142857143
120003HO,21.42857143
120004CA,20.83333333
120004HO,27.27272727
120004SD,24
120005HO,18.18181818
120006CA,0
120006HO,20.68965517
120007CA,18.18181818
120007SD,16.66666667
120008CA,15
120008SD,14.70588235
120009CA,17.85714286
120009HO,26.66666667
120009SD,26.92307692
120010CA,23.07692308
120011HO,50
120011SD,25
120013SD,14.28571429
120014SD,22.72727273
120015HO,16
120016HO,50
120018HO,23.07692308
120020HO,33.33333333
120021HO,37.5
120021SD,20.68965517
120022SD,14.81481481
120023HO,25
120023SD,12.90322581
120024HO,20
120024SD,16.66666667
120025SD,12.90322581
120026HO,14.81481481
