ID,P,V,A,Efectividad
110212HO,7,23,1,22.5806451613
110212ME,1,1,0,50.0
110214HO,2,15,0,11.7647058824
110217HO,1,3,0,25.0
110220HO,7,24,0,22.5806451613
110221HO,5,24,1,16.6666666667
110229HO,2,16,0,11.1111111111
110232HO,1,6,0,14.2857142857
110236HO,4,29,1,11.7647058824
110245HO,4,10,0,28.5714285714
110250HO,2,15,0,11.7647058824
110252HO,4,9,0,30.7692307692
110253HO,1,17,0,5.55555555556
110256HO,5,22,0,18.5185185185
110257HO,5,24,0,17.2413793103
110259HO,7,19,0,26.9230769231
110260HO,3,9,0,25.0
110264HO,2,2,0,50.0
110269HO,1,13,0,7.14285714286
110275HO,7,19,1,25.9259259259
110280HO,4,4,0,50.0
110281HO,1,5,0,16.6666666667
110282HO,2,25,0,7.40740740741
110287HO,6,25,0,19.3548387097
110290HO,2,2,1,40.0
110291HO,7,23,0,23.3333333333
110298HO,5,10,0,33.3333333333
110304HO,4,26,0,13.3333333333
110305HO,4,12,1,23.5294117647
110307HO,1,0,1,50.0
110314HO,4,27,0,12.9032258065
