,ID,P,V,A,Efectividad,DIM
551,100370HO,5,15,1,23.809523809499996,341.0
552,100373HO,3,15,0,16.6666666667,308.666666667
553,100377HO,7,25,0,21.875,255.83333333299998
554,100387HO,8,28,1,21.6216216216,292.4
555,100388HO,6,9,0,40.0,105.0
556,100389HO,6,15,0,28.5714285714,249.4
558,100394HO,3,3,0,50.0,178.5
559,100402HO,1,2,0,33.3333333333,60.0
560,100406HO,3,3,0,50.0,266.0
561,100412HO,7,30,0,18.9189189189,348.25
562,100413HO,3,14,0,17.6470588235,180.33333333299998
563,100417HO,7,21,0,25.0,220.16666666700002
564,100419HO,2,3,0,40.0,190.0
565,100423HO,6,24,0,20.0,253.6
566,100424HO,1,7,0,12.5,245.0
567,100425HO,5,21,1,18.5185185185,325.333333333
569,100429HO,1,2,0,33.3333333333,167.0
570,100430HO,4,11,0,26.6666666667,259.0
571,100431HO,2,1,0,66.6666666667,35.0
572,100433HO,1,1,0,50.0,178.0
573,100434HO,2,1,0,66.6666666667,174.5
574,100435HO,9,28,0,24.324324324299997,300.2
575,100436HO,1,5,0,16.6666666667,273.0
576,100437HO,3,12,1,18.75,314.5
577,100438HO,4,2,0,66.6666666667,279.0
578,100439HO,2,0,0,100.0,154.0
579,100440HO,8,19,0,29.6296296296,277.6
580,100441HO,3,17,0,15.0,278.666666667
582,100443HO,2,0,0,100.0,159.0
583,100448HO,5,15,0,25.0,264.4
585,100450HO,4,17,1,18.1818181818,294.333333333
586,100451HO,9,16,0,36.0,214.57142857099998
587,100452HO,4,14,0,22.2222222222,195.0
588,100458HO,5,18,0,21.7391304348,303.25
589,100459HO,1,3,0,25.0,208.0
590,100460HO,5,12,1,27.7777777778,269.25
591,100461HO,8,23,1,25.0,269.4
592,100463HO,1,6,0,14.2857142857,421.0
593,100464HO,1,8,0,11.1111111111,376.0
594,100476HO,7,26,0,21.2121212121,259.6
595,100480HO,1,5,0,16.6666666667,223.0
597,100481HO,2,20,0,9.090909090910001,412.5
598,100485HO,3,4,0,42.8571428571,123.0
599,100487HO,1,2,0,33.3333333333,178.0
600,100489HO,1,2,0,33.3333333333,8.0
602,100497HO,7,28,0,20.0,298.4
603,100498HO,5,22,0,18.5185185185,284.4
604,100504HO,4,7,0,36.3636363636,172.0
605,100505HO,5,36,0,12.195121951199999,293.25
606,100509HO,2,9,0,18.1818181818,228.5
607,100510HO,4,3,0,57.1428571429,220.5
609,100520HO,1,5,0,16.6666666667,294.0
611,100526HO,1,2,0,33.3333333333,86.0
612,100527HO,2,1,1,50.0,338.0
613,100529HO,7,29,1,18.9189189189,251.25
614,100530HO,4,17,0,19.0476190476,248.75
616,100534HO,3,14,0,17.6470588235,170.66666666700002
617,100539HO,4,16,0,20.0,165.0
618,100540HO,4,24,1,13.7931034483,299.333333333
619,100542HO,1,4,0,20.0,131.0
