,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO
475,100122HO,2010,F1H,H0584,0
476,100123HO,2010,F1H,H0584,0
477,100124JE,2010,F1J,J0778,0
478,100125HO,2010,F1H,H0584,0
479,100126HO,2010,F1H,H0584,0
480,100127JE,2010,F1J,JE0778,425
481,100129HO,2010,F1H,H0584,424
482,100130HO,2010,F1H,H0584,360
483,100131HO,2010,F1H,H0584,0
484,100132HO,2010,F1H,H0584,449
485,100134HO,2010,F1H,H0584,322
486,100135CP,2010,F1H,BR,0
487,100135HO,2010,F1H,H0584,321
488,100136HO,2010,F1H,H0584,515
489,100137HO,2010,F1H,H0584,513
490,100138HO,2010,F1H,H0584,0
491,100139HO,2010,F1H,H0584,0
492,100140HO,2010,F1H,H0584,0
493,100142HO,2010,F1H,H0584,478
494,100143HO,2010,F1H,H0584,0
495,100143ME,2010,F1H,HOL,569
496,100145HO,2010,F1H,H0584,0
497,100147HO,2010,EC,H0584,0
498,100148HO,2010,F1H,H0584,401
499,100150HO,2010,F1H,H0584,560
500,100151HO,2010,F1H,H0584,0
501,100152HO,2010,F1H,H0584,0
502,100154HO,2010,F1H,H0584,588
503,100156HO,2010,F1H,H0584,316
504,100157HO,2010,F1H,H0584,412
505,100158HO,2010,F1H,H0585,0
506,100160HO,2010,F1H,H0778,327
507,100164HO,2010,F1H,H0584,0
508,100167HO,2010,F1H,H0585,497
509,100170HO,2010,F1H,H0778,419
510,100175HO,2010,F1H,H0585,0
511,100178HO,2010,F1H,H0584,347
512,100179HO,2010,F1H,H0585,0
513,100184HO,2010,F1H,H0778,0
514,100185HO,2010,F1H,H0584,0
515,100186HO,2010,F1H,H0589,0
516,100191HO,2010,F1H,H0584,0
517,100193HO,2010,F1H,H0584,324
518,100195HO,2010,F1H,H0589,308
519,100196HO,2010,F1H,H0589,807
520,100197HO,2010,F1H,H0589,572
521,100199HO,2010,F1H,H0584,441
522,100200HO,2010,F1H,H0778,352
523,100201HO,2010,F1H,H0778,357
524,100202HO,2010,F1H,H0589,338
525,100203HO,2010,F1H,H0585,328
526,100204HO,2010,F1H,H0584,0
527,100206HO,2010,F1H,H0584,629
528,100207HO,2010,F1H,H0589,354
529,100207ME,2010,F1H,HOL,0
530,100208HO,2010,F1H,H0585,332
531,100209HO,2010,F1H,H0778,301
532,100213HO,2010,F1H,H0585,0
533,100215CP,2010,F1H,BR,556
534,100215HO,2010,F1H,H0584,0
535,100217,2011,1/4HOL,BR,0
536,100218HO,2010,F1H,H0585,382
537,100225HO,2010,F1H,H0585,412
538,100226HO,2010,F1H,H0584,0
539,100232HO,2010,F1H,H0585,373
540,100234HO,2010,EC,H0584,332
541,100235HO,2010,F1H,H0584,318
542,100237HO,2010,F1H,H0585,0
543,100238HO,2010,F1H,H0589,0
544,100242CP,2010,F1H,BR,390
545,100245CP,2010,F1H,BR,357
546,100246CP,2010,F1H,BR,551
547,100247CP,2010,F1H,BR,373
548,100249CP,2010,F1H,BR,586
549,100254HO,2010,F1H,H1297,362
550,100255HO,2010,F1H,H0589,430
551,100256HO,2010,F1H,H0585,380
552,100258HO,2010,F1H,H0584,573
553,100264CP,2010,F1H,BR,577
554,100268HO,2010,F1H,H0585,320
555,100278CP,2010,F1H,BR,445
556,100280HO,2010,F1H,H0778,0
557,100291HO,2010,F1H,H1297,0
558,100297HO,2010,F1H,H0585,321
559,100299HO,2010,F1H,H0585,0
560,100301HO,2010,F1H,H0585,335
561,100309CP,2010,F1H,BR,393
562,100317HO,2010,F1H,H0585,0
563,100320HO,2010,F1H,H0585,422
564,100321HO,2010,F1H,H0584,0
565,100322HO,2010,F1H,H0585,0
566,100328HO,2010,F1H,H0778,312
567,100332HO,2010,F1H,H0778,0
568,100337CP,2010,F1H,BR,345
569,100338HO,2010,F1H,H0778,368
570,100339CP,2010,F1H,BR,0
571,100340HO,2010,F1H,H0584,725
572,100344HO,2010,F1H,H0778,0
573,100347HO,2010,EC,H0778,333
574,100351CP,2010,F1H,BR,523
575,100351HO,2010,F1H,H0585,0
576,100352CP,2010,F1H,BR,542
577,100352HO,2010,F1H,H0778,655
578,100369HO,2010,F1H,H0585,0
579,100370HO,2010,F1H,H0585,327
580,100373HO,2010,F1H,H0589,501
581,100377HO,2010,F1H,H0778,447
582,100387HO,2010,F1H,H0585,539
583,100388HO,2010,F1H,H1297,407
584,100389HO,2010,F1H,H0585,173
585,100393HO,2010,F1H,H0585,0
586,100394HO,2010,EC,H0585,323
587,100402HO,2010,F1H,H1297,0
588,100406HO,2010,F1H,H0589,336
589,100412HO,2010,F1H,H0584,376
590,100413HO,2010,F1H,H0584,713
591,100417HO,2010,F1H,H1297,343
592,100419HO,2010,F1H,H1297,321
593,100423HO,2010,F1H,H0584,322
594,100424HO,2010,F1H,H0584,0
595,100425HO,2010,F1H,H0584,582
596,100426HO,2010,F1H,H0585,0
597,100429HO,2010,F1H,H0778,0
598,100430HO,2010,F1H,H0778,305
599,100431HO,2010,F1H,H0778,0
600,100433HO,2010,F1H,H0589,0
601,100434HO,2010,F1H,H0585,436
602,100435HO,2010,F1H,HOL,357
603,100436HO,2010,F1H,H0585,0
604,100437HO,2010,F1H,H0584,605
605,100438HO,2010,F1H,H0585,413
606,100439HO,2010,F1H,H0584,0
607,100440HO,2010,F1H,H0778,322
608,100441HO,2010,F1H,H0778,359
609,100442HO,2010,F1H,H0778,0
610,100443HO,2010,F1H,H0589,0
611,100448HO,2010,F1H,H0585,351
612,100449HO,2010,F1H,H0584,0
613,100450HO,2010,F1H,H0585,591
614,100451HO,2010,F1H,H1297,364
615,100452HO,2010,F1H,H0589,364
616,100458HO,2010,F1H,H0589,457
617,100459HO,2010,F1H,H0778,0
618,100460HO,2010,F1H,H0589,338
619,100461HO,2010,F1H,H0778,376
620,100463HO,2010,F1H,H0589,0
621,100464HO,2010,F1H,H0778,0
622,100474HO,2010,F1H,H0585,0
623,100476HO,2010,F1H,H0585,318
624,100480HO,2010,F1H,H0778,0
625,100481HO,2010,F1H,H0585,664
626,100485HO,2010,F1H,H0589,397
627,100487HO,2010,F1H,H0584,0
628,100489HO,2010,F1H,H0778,0
629,100496HO,2010,F1H,H0584,0
630,100497HO,2010,F1H,H0778,314
631,100498HO,2010,F1H,H0584,358
632,100504HO,2010,F1H,H0585,321
633,100505HO,2010,F1H,H0778,308
634,100509HO,2010,F1H,H0584,489
635,100510HO,2010,F1H,H0589,444
636,100520HO,2010,F1H,H0584,0
637,100521HO,2010,EC,H0589,0
638,100526HO,2010,F1H,H0778,0
639,100527HO,2010,EC,HO0681,0
640,100529HO,2010,F1H,H0585,433
641,100530HO,2010,F1H,H0585,441
642,100532HO,2010,F1H,H0584,0
643,100534HO,2010,F1H,H0585,595
644,100539HO,2010,F1H,H0778,313
645,100540HO,2010,F1H,H0585,548
646,100542HO,2010,F1H,H0584,0
647,100544HO,2010,F1H,H0585,662
648,100551HO,2010,EC,H0589,456
649,100552HO,2010,EC,H0589,0
650,100557HO,2010,F1H,H0585,0
651,100561HO,2010,F1H,H0778,0
652,100563HO,2010,F1H,H0585,420
653,100564HO,2010,F1H,H0584,0
654,100576HO,2010,F1H,H0585,0
655,100600HO,2010,F1H,H0585,0
656,100602HO,2010,F1H,H0589,382
657,100603HO,2010,F1H,H0585,0
658,100618HO,2010,F1H,H0585,437
659,100620HO,2010,F1H,H0585,0
660,100621HO,2010,F1H,H0585,320
661,100622HO,2010,F1H,H0589,453
662,100625HO,2010,F1H,H0585,442
663,100626HO,2010,F1H,H0589,629
664,100629HO,2010,F1H,H0778,543
665,100649HO,2010,F1H,H0778,571
666,100661HO,2010,F1H,H0778,414
667,100665HO,2010,F1H,H0589,0
668,100669HO,2010,F1H,H0778,304
669,100671HO,2010,F1H,H0589,392
670,100674HO,2010,F1H,H0778,191
671,100678HO,2010,F1H,H0589,335
672,100681HO,2010,F1H,H0585,332
673,100682HO,2010,F1H,H0585,539
