Estructura de red; MSE; Iteraciones; SQRT MSE
[8, 8, 8, 8]; 238.94355195477533; 1; 15.457799065674756
[8, 8, 8, 10]; 232.34769184480686; 1; 15.242955482609233
[8, 8, 10, 6]; 245.06216350097148; 1; 15.654461456753198
[8, 8, 10, 8]; 238.8438102640948; 1; 15.454572471087474
[8, 8, 10, 10]; 226.4351162880975; 1; 15.04776117195171
[8, 10, 6, 6]; 226.82967800974896; 1; 15.060865778890301
[8, 10, 6, 8]; 223.26137210972388; 1; 14.941933345779718
[8, 10, 6, 10]; 236.12799330306916; 1; 15.366456758246814
[8, 10, 8, 6]; 231.25599054839086; 1; 15.20710329248772
[8, 10, 8, 8]; 231.92469277883615; 1; 15.229073930440949
[8, 10, 8, 10]; 246.7548397903075; 1; 15.708432123872436
[8, 10, 10, 6]; 233.57301659115228; 1; 15.28309577903483
[8, 10, 10, 8]; 229.94262304236133; 1; 15.163859107837995
[8, 10, 10, 10]; 242.28499685413632; 1; 15.565506636603137
[10, 6, 6, 6]; 231.42582015536314; 1; 15.212686158445626
[10, 6, 6, 8]; 239.77342926712987; 1; 15.484619119214068
[10, 6, 6, 10]; 219.15049159508837; 1; 14.803732353534643
[10, 6, 8, 6]; 237.760487555994; 1; 15.419484023662854
[10, 6, 8, 8]; 230.1682965036963; 1; 15.17129844488257
[10, 6, 8, 10]; 229.70665280449612; 1; 15.1560764317318
[10, 6, 10, 6]; 233.955823768621; 1; 15.295614527328446
[10, 6, 10, 8]; 245.58929079192637; 1; 15.671288740621378
[10, 6, 10, 10]; 236.43357486943285; 1; 15.37639668028348
[10, 8, 6, 6]; 231.0068835663383; 1; 15.198910604590656
[10, 8, 6, 8]; 223.23848976342674; 1; 14.941167617138452
[10, 8, 6, 10]; 213.95258579903637; 1; 14.627118164527023
[10, 8, 8, 6]; 234.59886584223918; 1; 15.316620575121627
[10, 8, 8, 8]; 255.30717539250767; 1; 15.978334562541482
[10, 8, 8, 10]; 232.50745710983094; 1; 15.248195208280583
[10, 8, 10, 6]; 223.48487545903444; 1; 14.949410538848495
[10, 8, 10, 8]; 232.4051114505395; 1; 15.244838846328927
[10, 8, 10, 10]; 245.1376523490444; 1; 15.656872368038401
[10, 10, 6, 6]; 259.243537882844; 1; 16.10104151546862
[10, 10, 6, 8]; 242.4162080579635; 1; 15.569720872834024
[10, 10, 6, 10]; 243.53675831662318; 1; 15.605664302317386
[10, 10, 8, 6]; 224.98907979607188; 1; 14.99963598878559
[10, 10, 8, 8]; 226.99608121468214; 1; 15.066389123299654
[10, 10, 8, 10]; 235.81276145421532; 1; 15.356196190926166
[10, 10, 10, 6]; 224.8583913841597; 1; 14.995278969867806
[10, 10, 10, 8]; 248.77228367534636; 1; 15.772516719767532
[10, 10, 10, 10]; 219.97053960173204; 1; 14.831403831119024
